Feature,Score
0,24.639914684951997
1,47.46533481057554
2,23.76845322278859
3,19.840414817180434
4,30.497021397150483
5,13.621331200619258
6,9.823855026247768
7,91.50881017877236
8,35.556441557661486
9,39.99799184042553
10,15.616983339085204
11,40.12111591656925
12,37.232391112175016
13,37.79350526644271
14,23.51445542542056
15,17.70426796349858
16,134.34709574441715
17,128.120079332578
18,25.0009756176404
19,7.6368401070015075
20,26.88353067532319
21,27.40272458018865
22,24.6266598709733
23,22.074893156547915
24,10.751708582151457
25,142.76031328306775
26,64.85608960753511
27,19.730985476547392
28,15.97574305262259
29,20.87087389329777
30,17.311184061707447
31,22.58350406693357
32,19.431193164000693
33,6.318435974065707
34,170.47972858354163
35,66.65194424338281
36,28.858317932717
37,11.908653597629629
38,27.148404731906123
39,25.448056938071353
40,30.668252539894265
41,3.7103750613703546
42,1.3317206435165099
43,162.51492738140905
44,63.28014444217024
45,30.26201994550004
46,10.251610036655654
47,32.378859182177194
48,30.474208543355587
49,31.144527523394064
50,27.61782625597392
51,7.480194724460212
52,163.214767380503
53,70.5807034391239
54,10.3394766705387
55,14.380002388536514
56,9.373992526427354
57,9.2468890746945
58,11.124069713105095
59,1.5635663150835464
60,1.85479308874666
61,191.18322508759653
62,49.72908148483156
63,28.71177871616562
64,9.734914250955072
65,29.297555449085795
66,27.615881161998878
67,29.311801038587408
68,6.910301930798286
69,0.8579838586279205
70,193.61681605258568
71,59.305073980676
72,10.188317854545762
73,17.077785828391356
74,9.48755323494352
75,10.660753505175583
76,9.306777091855361
77,2.1837989329690735
78,3.62530040196008
79,199.572315336459
80,51.75925867119569
81,33.58590795081395
82,19.259294043869446
83,35.16396483967612
84,30.065229056487265
85,37.957932788315254
86,15.021721021552768
87,2.581995010592557
88,202.47433819080584
89,70.20742978999255
90,14.0796937487466
91,16.164953441660852
92,14.822974500230615
93,13.288074343929845
94,15.65976268775284
95,17.28474495961944
96,4.900483704400179
97,211.38355388711835
98,63.74404018962457
99,25.29852085056232
100,15.478849672415402
101,24.56905261577342
102,24.669061077324884
103,24.649802492434894
104,1.5040463548888168
105,2.2955279262685644
106,214.62948154125516
107,59.742457413440015
108,4.586840333987571
109,21.51286712486847
110,5.317874926808466
111,8.672368473191622
112,2.405904261452546
113,6.80453829239736
114,3.0512056751270826
115,220.8403378760018
116,80.776833287972
117,15.29968311455307
118,20.34068548739964
119,17.085370918382168
120,17.735701127873238
121,15.045724896289338
122,22.975167835575814
123,7.911470652692307
124,220.9679999093575
125,84.91605534191463
126,8.135979865904451
127,37.62353463976413
128,7.778241834607235
129,8.925366480904984
130,8.626989628829186
131,32.18000619440166
132,10.962140945363839
133,229.587092345388
134,90.50706875786975
135,11.1370573204819
136,32.71494063689523
137,11.900089963276132
138,13.768900702298042
139,10.971265264161694
140,27.449003399353145
141,4.865190782687912
142,234.98499786702396
143,89.03754264460771
144,24.66461345218951
145,51.28643241889573
146,25.072244522331392
147,21.96889962788205
148,29.009021656852614
149,25.208352430185908
150,3.4821195367454028
151,238.23942141452608
152,116.02243837520109
153,12.699381789679217
154,55.38435417841766
155,12.72266947576317
156,12.293656050698718
157,18.449335055612547
158,20.359984526270477
159,9.006038308251043
160,242.1603360047999
161,118.28483822424377
162,18.775268282721125
163,47.78135759983184
164,16.825212959370436
165,13.683890089603313
166,25.87114961646771
167,13.435880752401433
168,13.572672569746263
169,238.59683367407993
170,105.13111203839665
171,19.84103827570265
172,45.70402117713092
173,19.813378866313116
174,15.780581296609814
175,24.225516153881223
176,5.389820473505944
177,8.592996463239936
178,234.17317333545535
179,104.3776809591344
